ANT1,21.28,3.85,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,8.77,-7.27,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.32,1.06,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C1-EP-DR1,-1.93,-8.58,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,6.54,-5.91,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,8.64,-6.23,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,10.88,-9.87,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,12.26,-9.24,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,17.51,-9.40,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,6.33,-6.97,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C16,13.99,-8.56,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,17.78,-6.41,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,17.79,-5.61,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,2.47,-7.21,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,9.93,-8.73,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C20,18.28,-0.51,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,16.16,0.43,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,5.21,-5.94,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-19.97,8.04,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,-18.43,8.08,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-15.52,13.59,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,-8.63,9.37,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,-15.11,-14.64,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,6.54,-5.05,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,7.19,-14.63,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-3.97,-14.64,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,-16.50,-13.38,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-14.40,13.60,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-20.20,-12.85,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,-9.84,13.70,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,-9.80,16.46,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,-9.80,15.03,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,5.21,-5.04,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-3.80,9.60,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,-2.70,9.30,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,17.80,-8.54,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,18.30,-2.07,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,13.47,0.55,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,9.85,-0.09,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,8.93,-3.75,180.00,820pF,NORDIC_NRF_3_RESC0201_L
